2025-11-19 17:50:06.563 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-19 17:50:06.689 [Test worker] INFO  searchengine.IndexingServiceTest - Starting IndexingServiceTest using Java 17.0.17 with PID 12344 (started by user in C:\Users\user\IdeaProjects\SpringFramework\website-search-engine)
2025-11-19 17:50:06.699 [Test worker] INFO  searchengine.IndexingServiceTest - The following 1 profile is active: "test"
2025-11-19 17:50:10.219 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-19 17:50:10.477 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 230 ms. Found 4 JPA repository interfaces.
2025-11-19 17:50:12.361 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-19 17:50:13.135 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@212e39ee
2025-11-19 17:50:13.141 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-19 17:50:13.869 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-19 17:50:14.303 [Test worker] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.24.Final
2025-11-19 17:50:14.319 [Test worker] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2025-11-19 17:50:15.419 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-19 17:50:15.606 [Test worker] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-11-19 17:50:19.222 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-19 17:50:19.235 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-19 17:50:21.058 [Test worker] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-11-19 17:50:27.180 [Test worker] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2025-11-19 17:50:34.026 [Test worker] INFO  searchengine.IndexingServiceTest - Started IndexingServiceTest in 28.09 seconds (process running for 44.088)
2025-11-19 17:50:40.792 [ForkJoinPool-1-worker-1] INFO  s.services.LemmaServiceImpl - Начало лемматизации для страницы: /
2025-11-19 17:50:40.799 [ForkJoinPool-1-worker-1] WARN  s.services.LemmaServiceImpl - Для страницы / не найдено подходящих лемм.
2025-11-19 17:50:40.996 [ForkJoinPool-1-worker-1] INFO  s.services.LemmaServiceImpl - Начало лемматизации для страницы: /page2
2025-11-19 17:50:40.997 [ForkJoinPool-1-worker-1] WARN  s.services.LemmaServiceImpl - Для страницы /page2 не найдено подходящих лемм.
2025-11-19 17:50:41.195 [ForkJoinPool-1-worker-1] DEBUG searchengine.services.SiteCrawler - Страница / уже существует в базе. Пропускаем.
2025-11-19 17:50:41.204 [ForkJoinPool-1-worker-2] INFO  s.services.LemmaServiceImpl - Начало лемматизации для страницы: /page3
2025-11-19 17:50:41.205 [ForkJoinPool-1-worker-2] WARN  s.services.LemmaServiceImpl - Для страницы /page3 не найдено подходящих лемм.
2025-11-19 17:50:42.377 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-11-19 17:50:42.395 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-11-19 17:50:42.422 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
